epoch,train_loss,train_recon,train_kl,train_feller,train_arbitrage,val_loss,val_recon,val_kl,val_feller,val_arbitrage,lr
1,5.36271390914917,5.314948322296143,0.47686898565292357,7.874996494501829e-05,0.0,,,,,,0.001
2,4.311656932830811,4.189134231567383,0.838847330570221,0.0049289558418095115,0.016854547500610353,,,,,,0.001
3,4.02065012550354,3.431564905166626,1.3314900913238525,0.14921774794440718,0.15335915553569793,,,,,,0.001
4,3.605594247817993,3.1181954727172854,1.7428285655975342,0.0048514673169702295,0.15413225355744362,,,,,,0.001
5,3.437966564178467,2.8823505878448485,2.157307758331299,0.008047962203621865,0.16591866183280946,,,,,,0.001
6,3.1672149715423585,2.7088161659240724,2.3723697147369385,0.008995417550206185,0.10608317577838898,,,,,,0.001
7,3.137401885986328,2.5729298610687255,2.4553086490631104,0.007730450427159667,0.15560538280010222,,,,,,0.001
8,2.9118867511749267,2.4362344379425047,2.3480534591674806,0.005940775459632277,0.1174530475139618,,,,,,0.001
9,2.880261520385742,2.4844169998168946,2.4615848445892334,0.0026740653067827223,0.07350594472885132,,,,,,0.001
10,2.743217472076416,2.303755563735962,2.5249994144439696,0.004224533227272332,0.09136870038509369,,,,,,0.001
11,2.715700038909912,2.2229075984954836,2.586576477050781,0.008007401012815536,0.11306369876861572,,,,,,0.001
12,2.592798387527466,2.1904778175354003,2.6331610374450682,0.004520199602469802,0.06724210223555564,,,,,,0.001
13,2.4504813442230224,2.1437469205856323,2.7108631229400633,0.001627224485971965,0.017010446429252625,,,,,,0.001
14,2.3723060626983643,1.986834729194641,2.9791956119537355,0.002878045137040317,0.042336862921714784,,,,,,0.001
15,2.3313533039093017,1.8806605834960937,2.901969446182251,0.002065384710673243,0.07921521547436715,,,,,,0.001
16,2.3532481746673586,2.003059931755066,2.864031005859375,0.009761406335979701,0.02701188850402832,,,,,,0.001
17,2.313062816619873,1.9179205436706543,2.8994461097717283,0.0027072766104247422,0.051245203018188475,,,,,,0.001
18,2.2656449060440065,1.8019897441864015,3.0776344394683837,0.001966914959717542,0.07696238613128661,,,,,,0.001
19,2.2461416358947752,1.7807115173339845,3.148953258514404,0.008361256714910269,0.0710868034362793,,,,,,0.001
20,2.3087710990905763,1.755644947052002,3.0167039165496825,0.0032397017255425455,0.12410799598693847,,,,,,0.001
21,2.186158206939697,1.7205299263000489,2.990419370651245,0.004118383919820189,0.08123397588729858,,,,,,0.001
22,2.177328380584717,1.6416751880645752,3.076906379699707,0.004107874646782875,0.11192731857299805,,,,,,0.001
23,2.2277126836776735,1.7427362022399902,3.1693134269714354,0.001710175182670355,0.08316745948791504,,,,,,0.001
24,2.1061457176208496,1.6459814558029175,3.1636321640014646,0.0018936448208987714,0.07095370745658874,,,,,,0.001
25,2.207421413421631,1.6369563388824462,3.1605015869140627,0.0029896552106365563,0.1257126190662384,,,,,,0.001
26,2.087433828353882,1.5839376173019408,3.2906990928649904,0.0033047296367585658,0.08556076604127884,,,,,,0.001
27,1.9504125556945802,1.505559955596924,3.3896001472473145,0.00288414274668321,0.051504207611083985,,,,,,0.001
28,1.9810785655975343,1.5652521333694458,3.367836124420166,0.001661904879147187,0.03869045168161392,,,,,,0.001
29,1.894126585006714,1.4562997093200685,3.428968273162842,0.0025221478790044783,0.04620395565032959,,,,,,0.001
30,2.0774465370178223,1.5325593662261963,3.4359670448303223,0.0026603452926501634,0.0993150429725647,,,,,,0.001
31,1.9625342111587525,1.4669969816207886,3.439462774276733,0.012477267829730408,0.06955683088302612,,,,,,0.001
32,1.8907018566131593,1.448733362197876,3.430584384918213,0.0013588126366958022,0.048775628566741946,,,,,,0.001
33,2.027889039993286,1.4450648374557495,3.496281229019165,0.0009610184573102743,0.11611753070354462,,,,,,0.001
34,2.141215492248535,1.4293305835723877,3.508286466598511,0.0026500219441950323,0.17920309829711914,,,,,,0.001
35,1.7758023986816407,1.2947411785125733,3.428131063461304,0.0016312500550411642,0.06830844044685364,,,,,,0.001
36,1.917715883255005,1.4216852407455445,3.3854912490844726,0.0030581802390515804,0.07721168518066407,,,,,,0.001
37,1.952351266860962,1.3699282035827636,3.5803835124969483,0.0035985584408044814,0.11039307057857513,,,,,,0.001
38,1.9418456964492798,1.335076045036316,3.5229177322387697,0.001735565360635519,0.1263711519241333,,,,,,0.001
39,1.746167073249817,1.324907377243042,3.639152471542358,0.0011284580305218697,0.02810798168182373,,,,,,0.001
40,1.8972430086135865,1.2671072702407837,3.664134485244751,0.033637426915112886,0.11504244531691074,,,,,,0.001
41,1.873118250846863,1.2469417572021484,3.647590747833252,0.00294520653039217,0.12923610696196555,,,,,,0.001
42,1.8156536350250243,1.2119086465835571,3.4794989624023436,0.0030749487355351446,0.1263600654602051,,,,,,0.001
43,1.8069925098419188,1.2496509561538696,3.5198769245147705,0.0017272026930004358,0.10181331324577332,,,,,,0.001
44,1.806873001098633,1.2950914573669434,3.585296100616455,0.0037896549589931964,0.07473112964630127,,,,,,0.001
45,1.7696517219543457,1.2288383378982544,3.549139642715454,0.0013903929330408573,0.09225450706481933,,,,,,0.001
46,1.7426420860290528,1.2890898694992066,3.5342835140228273,0.00200840763701126,0.04905774402618408,,,,,,0.001
47,1.7264118967056274,1.1396483783721925,3.6085389308929443,0.0018732593785971403,0.11201817750930786,,,,,,0.001
48,1.700138858795166,1.1806964693069457,3.5178999824523927,0.0022885261098854245,0.08268192791938782,,,,,,0.001
49,1.8025622959136962,1.2592355861663818,3.5736937198638916,0.002302368521690369,0.09182747268676758,,,,,,0.001
50,1.6221960144042968,1.118485867500305,3.591351400375366,0.00990616888855584,0.06733441352844238,,,,,,0.001
51,1.5941672716140747,1.1028016376495362,3.518349966049194,0.0015845677184406668,0.06897304210066796,,,,,,0.001
52,1.6534500522613524,1.1558062314987183,3.5570038814544676,0.006495686611160636,0.06772385931015015,,,,,,0.001
53,1.6652205047607422,1.1020933427810669,3.67637917137146,0.001730946432799101,0.09687915337085724,,,,,,0.001
