,kappa,theta,sigma_v,rho,v0
crude_oil_30d_mean,0.882165546933122,0.4398077390429882,0.6439682370641759,0.861545657336729,0.49800592111959086
crude_oil_7d_mean,0.7047307154103861,0.41765761434502835,0.5042244017103732,0.6888883321962966,0.3996481505091345
unrest_index_yearly,0.8455541907388939,0.45238300939281517,0.6080676693019949,0.6616591647238113,0.4782081748549727
crude_oil,0.5508289080237052,0.346705552454051,0.47822346406989835,0.6032833985714081,0.3568010598896625
usdinr_quarterly_mean,1.339479993447068,0.713047949875409,0.9296839947761555,1.2231630819634631,0.6257460705793463
india_vix_30d_mean,0.77246289909995,0.41754362904474585,0.5619485573870602,0.7563276132519401,0.36810127472923737
india_vix_7d_mean,0.4245903229454351,0.30764897751922815,0.3972208061681526,0.4482523989443945,0.3706678826074934
us_10y_yield,0.5863218111766804,0.4233598334534179,0.38201823847270777,0.6299466009572057,0.36746416177735197
