,kappa,theta,sigma_v,rho,v0
crude_oil_30d_mean,-0.33467516454995005,-0.27145474786188195,-0.4484852724025134,-0.4067556316938087,-0.031253953608797014
crude_oil_7d_mean,-0.24183972126867026,-0.32704790601959854,-0.535624783006929,-0.4097067881168962,-0.0749410728440896
unrest_index_yearly,0.12612312842439063,0.38760689064650755,0.47873265612263244,0.3179995814237364,0.17403690589033427
crude_oil,-0.2093588626828753,-0.33010696519848637,-0.552463409878783,-0.4251997631014861,-0.1031525589145947
usdinr_quarterly_mean,-0.3335075062994951,-0.05880097562787224,-0.2938624259316408,0.15935164430136375,-0.466083259318419
india_vix_30d_mean,0.5216078793549059,0.017459800213524685,0.16637587336372467,-0.18576110081481623,0.46674719117332164
india_vix_7d_mean,0.22840580636511873,0.08582510628064904,0.43897144081548994,-0.10947024649128356,0.6812409972110356
us_10y_yield,-0.41167714790071414,-0.1643386340650238,-0.3179121248010046,-0.023854316535942218,-0.4533170901887177
