,kappa,theta,sigma_v,rho,v0
crude_oil_30d_mean,1.498889799383755e-14,6.787423458535635e-10,4.1049079808005407e-26,2.4050094685176168e-21,0.48562705595612204
crude_oil_7d_mean,4.359024234334943e-08,6.285500520114673e-14,1.8092404506898248e-38,1.1624603182036013e-21,0.09415150399503515
unrest_index_yearly,0.004736526839771255,2.263723215025759e-19,5.256972661125548e-30,3.270043672403764e-13,9.1635490893724e-05
crude_oil,2.3339923497646057e-06,3.5541362360119e-14,2.688307955682313e-41,2.2669451475873479e-23,0.021057874806222936
usdinr_quarterly_mean,1.8715818794566443e-14,0.1892925115009485,2.040759227062535e-11,0.00034732646171605874,2.4887388485557646e-28
india_vix_30d_mean,3.112249245799134e-36,0.6969318022421431,0.00018619654581603453,2.9178847286795406e-05,2.0406892032367506e-28
india_vix_7d_mean,2.431163322218696e-07,0.05513075463847942,5.745845760206617e-25,0.014322688747792939,1.8315748505039423e-69
us_10y_yield,7.125539417728456e-22,0.00022368344459830188,3.321690570783369e-13,0.5946294329512515,1.0405980177579006e-26
